Ch1,Ch2
0,0
2052,2565
4097,5114
6126,7632
8130,10103
10103,12512
12036,14844
13921,17085
15752,19222
17521,21240
19222,23128
20846,24874
22389,26467
23844,27898
25205,29158
26467,30239
27626,31134
28675,31838
29612,32346
30433,32657
31134,32766
31713,32675
32167,32383
32494,31892
32695,31206
32766,30328
32709,29264
32524,28020
32210,26604
31770,25025
31206,23293
30518,21417
29711,19410
28787,17284
27750,15052
26604,12727
25354,10325
24004,7859
22559,5344
21026,2797
19410,233
17718,-2332
15957,-4883
14132,-7405
12253,-9881
10325,-12296
8356,-14636
6355,-16886
4329,-19032
2285,-21062
233,-22962
-1819,-24721
-3865,-26329
-5896,-27775
-7904,-29051
-9881,-30148
-11818,-31060
-13710,-31782
-15547,-32308
-17324,-32637
-19032,-32765
-20666,-32691
-22218,-32418
-23683,-31945
-25055,-31276
-26329,-30415
-27499,-29368
-28561,-28140
-29511,-26740
-30345,-25175
-31060,-23456
-31653,-21593
-32121,-19598
-32464,-17482
-32678,-15259
-32765,-12942
-32722,-10546
-32551,-8085
-32252,-5574
-31827,-3030
-31276,-466
-30603,2099
-29809,4652
-28898,7177
-27874,9658
-26740,12079
-25501,14427
-24162,16685
-22728,18842
-21204,20882
-19598,22795
-17914,24568
-16160,26189
-14343,27651
-12469,28942
-10546,30056
-8582,30985
-6584,31724
-4560,32269
-2518,32615
-466,32761
1586,32706
3633,32451
5666,31996
7677,31345
9658,30501
11600,29471
13497,28259
15341,26874
17125,25324
18842,23619
20484,21768
22046,19784
23521,17679
24904,15465
26189,13156
27372,10767
28446,8311
29409,5804
30257,3262
30985,700
31592,-1866
32075,-4421
32431,-6949
32660,-9434
32761,-11862
32734,-14217
32577,-16484
32293,-18650
31881,-20702
31345,-22627
30685,-24413
29905,-26049
29007,-27525
27996,-28832
26874,-29962
25647,-30908
24319,-31665
22895,-32227
21382,-32592
19784,-32756
18109,-32720
16363,-32482
14552,-32046
12684,-31412
10767,-30586
8807,-29572
6812,-28377
4791,-27007
2751,-25472
700,-23780
-1353,-21942
-3401,-19970
-5436,-17875
-7450,-15670
-9434,-13370
-11382,-10987
-13284,-8537
-15135,-6034
-16926,-3494
-18650,-933
-20301,1633
-21873,4190
-23358,6721
-24752,9211
-26049,11644
-27243,14006
-28330,16282
-29306,18458
-30166,20521
-30908,22457
-31529,24256
-32026,25906
-32397,27397
-32641,28720
-32756,29867
-32743,30830
-32601,31604
-32331,32184
-31935,32567
-31412,32750
-30766,32731
-30000,32512
-29115,32093
-28116,31478
-27007,30669
-25791,29672
-24475,28493
-23062,27138
-21558,25618
-19970,23940
-18303,22115
-16565,20154
-14761,18070
-12899,15875
-10987,13582
-9031,11206
-7040,8762
-5022,6263
-2983,3726
-933,1166
1120,-1400
3169,-3958
5206,-6492
7223,-8986
9211,-11426
11163,-13795
13071,-16079
14927,-18264
16725,-20338
18458,-22287
20118,-24099
21698,-25763
23194,-27269
24598,-28607
25906,-29770
27112,-30750
28212,-31542
29200,-32140
30074,-32540
30830,-32741
31465,-32741
31976,-32540
32361,-32140
32620,-31542
32750,-30750
32751,-29770
32624,-28607
32369,-27269
31986,-25763
31478,-24099
30846,-22287
30093,-20338
29222,-18264
28235,-16079
27138,-13795
25935,-11426
24629,-8986
23227,-6492
21733,-3958
20154,-1400
18496,1166
16766,3726
14969,6263
13113,8762
11206,11206
9255,13582
7268,15875
5252,18070
3216,20154
1166,22115
-886,23940
-2937,25618
-4975,27138
-6995,28493
-8986,29672
-10943,30669
-12856,31478
-14719,32093
-16524,32512
-18264,32731
-19933,32750
-21523,32567
-23029,32184
-24444,31604
-25763,30830
-26980,29867
-28092,28720
-29094,27397
-29981,25906
-30750,24256
-31399,22457
-31924,20521
-32324,18458
-32597,16282
-32741,14006
-32757,11644
-32645,9211
-32404,6721
-32036,4190
-31542,1633
-30924,-933
-30184,-3494
-29326,-6034
-28353,-8537
-27269,-10987
-26077,-13370
-24783,-15670
-23391,-17875
-21908,-19970
-20338,-21942
