Ch1,Ch2,Ch3,Ch4
0,0,0,0
2052,2565,3076,3587
4097,5114,6126,7131
6126,7632,9121,10590
8130,10103,12036,13921
10103,12512,14844,17085
12036,14844,17521,20044
13921,17085,20044,22761
15752,19222,22389,25205
17521,21240,24537,27346
19222,23128,26467,29158
20846,24874,28164,30619
22389,26467,29612,31713
23844,27898,30798,32424
25205,29158,31713,32747
26467,30239,32346,32675
27626,31134,32695,32210
28675,31838,32754,31359
29612,32346,32524,30130
30433,32657,32006,28539
31134,32766,31206,26604
31713,32675,30130,24350
32167,32383,28787,21803
32494,31892,27191,18994
32695,31206,25354,15957
32766,30328,23293,12727
32709,29264,21026,9345
32524,28020,18573,5850
32210,26604,15957,2285
31770,25025,13199,-1306
31206,23293,10325,-4883
30518,21417,7359,-8401
29711,19410,4329,-11818
28787,17284,1260,-15093
27750,15052,-1819,-18187
26604,12727,-4883,-21062
25354,10325,-7904,-23683
24004,7859,-10855,-26020
22559,5344,-13710,-28044
21026,2797,-16444,-29731
19410,233,-19032,-31060
17718,-2332,-21453,-32016
15957,-4883,-23683,-32587
14132,-7405,-25705,-32766
12253,-9881,-27499,-32551
10325,-12296,-29051,-31945
8356,-14636,-30345,-30955
6355,-16886,-31372,-29592
4329,-19032,-32121,-27874
2285,-21062,-32587,-25820
233,-22962,-32765,-23456
-1819,-24721,-32653,-20810
-3865,-26329,-32252,-17914
-5896,-27775,-31567,-14803
-7904,-29051,-30603,-11513
-9881,-30148,-29368,-8085
-11818,-31060,-27874,-4560
-13710,-31782,-26133,-980
-15547,-32308,-24162,2611
-17324,-32637,-21977,6172
-19032,-32765,-19598,9658
-20666,-32691,-17046,13028
-22218,-32418,-14343,16241
-23683,-31945,-11513,19259
-25055,-31276,-8582,22046
-26329,-30415,-5574,24568
-27499,-29368,-2518,26794
-28561,-28140,560,28698
-29511,-26740,3633,30257
-30345,-25175,6675,31452
-31060,-23456,9658,32269
-31653,-21593,12555,32698
-32121,-19598,15341,32734
-32464,-17482,17992,32376
-32678,-15259,20484,31629
-32765,-12942,22795,30501
-32722,-10546,24904,29007
-32551,-8085,26794,27165
-32252,-5574,28446,24995
-31827,-3030,29848,22525
-31276,-466,30985,19784
-30603,2099,31849,16806
-29809,4652,32431,13625
-28898,7177,32727,10280
-27874,9658,32734,6812
-26740,12079,32451,3262
-25501,14427,31881,-326
-24162,16685,31030,-3912
-22728,18842,29905,-7450
-21204,20882,28516,-10899
-19598,22795,26874,-14217
-17914,24568,24995,-17363
-16160,26189,22895,-20301
-14343,27651,20593,-22995
-12469,28942,18109,-25413
-10546,30056,15465,-27525
-8582,30985,12684,-29306
-6584,31724,9791,-30734
-4560,32269,6812,-31793
-2518,32615,3773,-32470
-466,32761,700,-32756
1586,32706,-2378,-32649
3633,32451,-5436,-32149
5666,31996,-8446,-31262
7677,31345,-11382,-30000
9658,30501,-14217,-28377
11600,29471,-16926,-26412
13497,28259,-19485,-24130
15341,26874,-21873,-21558
17125,25324,-24067,-18727
18842,23619,-26049,-15670
20484,21768,-27800,-12426
22046,19784,-29306,-9031
23521,17679,-30552,-5528
24904,15465,-31529,-1959
26189,13156,-32227,1633
27372,10767,-32641,5206
28446,8311,-32766,8717
29409,5804,-32601,12123
30257,3262,-32149,15383
30985,700,-31412,18458
31592,-1866,-30398,21311
32075,-4421,-29115,23908
32431,-6949,-27575,26217
32660,-9434,-25791,28212
32761,-11862,-23780,29867
32734,-14217,-21558,31163
32577,-16484,-19146,32084
32293,-18650,-16565,32620
31881,-20702,-13837,32763
31345,-22627,-10987,32512
30685,-24413,-8040,31871
29905,-26049,-5022,30846
29007,-27525,-1959,29450
27996,-28832,1120,27701
26874,-29962,4190,25618
25647,-30908,7223,23227
24319,-31665,10192,20557
22895,-32227,13071,17640
21382,-32592,15834,14510
19784,-32756,18458,11206
18109,-32720,20918,7768
16363,-32482,23194,4236
14552,-32046,25265,653
12684,-31412,27112,-2937
10767,-30586,28720,-6492
8807,-29572,30074,-9970
6812,-28377,31163,-13327
4791,-27007,31976,-16524
2751,-25472,32506,-19523
700,-23780,32750,-22287
-1353,-21942,32704,-24783
-3401,-19970,32369,-26980
-5436,-17875,31747,-28854
-7450,-15670,30846,-30381
-9434,-13370,29672,-31542
-11382,-10987,28235,-32324
-13284,-8537,26550,-32717
-15135,-6034,24629,-32717
-16926,-3494,22491,-32324
-18650,-933,20154,-31542
-20301,1633,17640,-30381
-21873,4190,14969,-28854
-23358,6721,12166,-26980
-24752,9211,9255,-24783
-26049,11644,6263,-22287
-27243,14006,3216,-19523
-28330,16282,140,-16524
-29306,18458,-2937,-13327
-30166,20521,-5988,-9970
-30908,22457,-8986,-6492
-31529,24256,-11905,-2937
-32026,25906,-14719,653
-32397,27397,-17403,4236
-32641,28720,-19933,7768
-32756,29867,-22287,11206
-32743,30830,-24444,14510
-32601,31604,-26385,17640
-32331,32184,-28092,20557
-31935,32567,-29552,23227
-31412,32750,-30750,25618
-30766,32731,-31677,27701
-30000,32512,-32324,29450
-29115,32093,-32685,30846
-28116,31478,-32757,31871
-27007,30669,-32540,32512
-25791,29672,-32036,32763
-24475,28493,-31248,32620
-23062,27138,-30184,32084
-21558,25618,-28854,31163
-19970,23940,-27269,29867
-18303,22115,-25442,28212
-16565,20154,-23391,26217
-14761,18070,-21133,23908
-12899,15875,-18689,21311
-10987,13582,-16079,18458
-9031,11206,-13327,15383
-7040,8762,-10457,12123
-5022,6263,-7496,8717
-2983,3726,-4467,5206
-933,1166,-1400,1633
1120,-1400,1679,-1959
3169,-3958,4745,-5528
5206,-6492,7768,-9031
7223,-8986,10723,-12426
9211,-11426,13582,-15670
11163,-13795,16322,-18727
13071,-16079,18918,-21558
14927,-18264,21346,-24130
16725,-20338,23586,-26412
18458,-22287,25618,-28377
20118,-24099,27423,-30000
21698,-25763,28986,-31262
23194,-27269,30292,-32149
24598,-28607,31331,-32649
25906,-29770,32093,-32756
27112,-30750,32572,-32470
28212,-31542,32763,-31793
29200,-32140,32664,-30734
30074,-32540,32277,-29306
30830,-32741,31604,-27525
31465,-32741,30652,-25413
31976,-32540,29430,-22995
32361,-32140,27947,-20301
32620,-31542,26217,-17363
32750,-30750,24256,-14217
32751,-29770,22081,-10899
32624,-28607,19710,-7450
32369,-27269,17165,-3912
