Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
0,0,0,0,0,0
2052,2565,3076,3587,4097,4606
4097,5114,6126,7131,8130,9121
6126,7632,9121,10590,12036,13455
8130,10103,12036,13921,15752,17521
10103,12512,14844,17085,19222,21240
12036,14844,17521,20044,22389,24537
13921,17085,20044,22761,25205,27346
15752,19222,22389,25205,27626,29612
17521,21240,24537,27346,29612,31290
19222,23128,26467,29158,31134,32346
20846,24874,28164,30619,32167,32760
22389,26467,29612,31713,32695,32524
23844,27898,30798,32424,32709,31641
25205,29158,31713,32747,32210,30130
26467,30239,32346,32675,31206,28020
27626,31134,32695,32210,29711,25354
28675,31838,32754,31359,27750,22184
29612,32346,32524,30130,25354,18573
30433,32657,32006,28539,22559,14594
31134,32766,31206,26604,19410,10325
31713,32675,30130,24350,15957,5850
32167,32383,28787,21803,12253,1260
32494,31892,27191,18994,8356,-3355
32695,31206,25354,15957,4329,-7904
32766,30328,23293,12727,233,-12296
32709,29264,21026,9345,-3865,-16444
32524,28020,18573,5850,-7904,-20265
32210,26604,15957,2285,-11818,-23683
31770,25025,13199,-1306,-15547,-26632
31206,23293,10325,-4883,-19032,-29051
30518,21417,7359,-8401,-22218,-30893
29711,19410,4329,-11818,-25055,-32121
28787,17284,1260,-15093,-27499,-32712
27750,15052,-1819,-18187,-29511,-32653
26604,12727,-4883,-21062,-31060,-31945
25354,10325,-7904,-23683,-32121,-30603
24004,7859,-10855,-26020,-32678,-28653
22559,5344,-13710,-28044,-32722,-26133
21026,2797,-16444,-29731,-32252,-23095
19410,233,-19032,-31060,-31276,-19598
17718,-2332,-21453,-32016,-29809,-15711
15957,-4883,-23683,-32587,-27874,-11513
14132,-7405,-25705,-32766,-25501,-7086
12253,-9881,-27499,-32551,-22728,-2518
10325,-12296,-29051,-31945,-19598,2099
8356,-14636,-30345,-30955,-16160,6675
6355,-16886,-31372,-29592,-12469,11119
4329,-19032,-32121,-27874,-8582,15341
2285,-21062,-32587,-25820,-4560,19259
233,-22962,-32765,-23456,-466,22795
-1819,-24721,-32653,-20810,3633,25878
-3865,-26329,-32252,-17914,7677,28446
-5896,-27775,-31567,-14803,11600,30450
-7904,-29051,-30603,-11513,15341,31849
-9881,-30148,-29368,-8085,18842,32615
-11818,-31060,-27874,-4560,22046,32734
-13710,-31782,-26133,-980,24904,32202
-15547,-32308,-24162,2611,27372,31030
-17324,-32637,-21977,6172,29409,29243
-19032,-32765,-19598,9658,30985,26874
-20666,-32691,-17046,13028,32075,23972
-22218,-32418,-14343,16241,32660,20593
-23683,-31945,-11513,19259,32734,16806
-25055,-31276,-8582,22046,32293,12684
-26329,-30415,-5574,24568,31345,8311
-27499,-29368,-2518,26794,29905,3773
-28561,-28140,560,28698,27996,-840
-29511,-26740,3633,30257,25647,-5436
-30345,-25175,6675,31452,22895,-9925
-31060,-23456,9658,32269,19784,-14217
-31653,-21593,12555,32698,16363,-18226
-32121,-19598,15341,32734,12684,-21873
-32464,-17482,17992,32376,8807,-25085
-32678,-15259,20484,31629,4791,-27800
-32765,-12942,22795,30501,700,-29962
-32722,-10546,24904,29007,-3401,-31529
-32551,-8085,26794,27165,-7450,-32470
-32252,-5574,28446,24995,-11382,-32766
-31827,-3030,29848,22525,-15135,-32411
-31276,-466,30985,19784,-18650,-31412
-30603,2099,31849,16806,-21873,-29790
-29809,4652,32431,13625,-24752,-27575
-28898,7177,32727,10280,-27243,-24813
-27874,9658,32734,6812,-29306,-21558
-26740,12079,32451,3262,-30908,-17875
-25501,14427,31881,-326,-32026,-13837
-24162,16685,31030,-3912,-32641,-9524
-22728,18842,29905,-7450,-32743,-5022
-21204,20882,28516,-10899,-32331,-420
-19598,22795,26874,-14217,-31412,4190
-17914,24568,24995,-17363,-30000,8717
-16160,26189,22895,-20301,-28116,13071
-14343,27651,20593,-22995,-25791,17165
-12469,28942,18109,-25413,-23062,20918
-10546,30056,15465,-27525,-19970,24256
-8582,30985,12684,-29306,-16565,27112
-6584,31724,9791,-30734,-12899,29430
-4560,32269,6812,-31793,-9031,31163
-2518,32615,3773,-32470,-5022,32277
-466,32761,700,-32756,-933,32750
1586,32706,-2378,-32649,3169,32572
3633,32451,-5436,-32149,7223,31747
5666,31996,-8446,-31262,11163,30292
7677,31345,-11382,-30000,14927,28235
9658,30501,-14217,-28377,18458,25618
11600,29471,-16926,-26412,21698,22491
13497,28259,-19485,-24130,24598,18918
15341,26874,-21873,-21558,27112,14969
17125,25324,-24067,-18727,29200,10723
18842,23619,-26049,-15670,30830,6263
20484,21768,-27800,-12426,31976,1679
22046,19784,-29306,-9031,32620,-2937
23521,17679,-30552,-5528,32751,-7496
24904,15465,-31529,-1959,32369,-11905
26189,13156,-32227,1633,31478,-16079
27372,10767,-32641,5206,30093,-19933
28446,8311,-32766,8717,28235,-23391
29409,5804,-32601,12123,25935,-26385
30257,3262,-32149,15383,23227,-28854
30985,700,-31412,18458,20154,-30750
31592,-1866,-30398,21311,16766,-32036
32075,-4421,-29115,23908,13113,-32685
32431,-6949,-27575,26217,9255,-32685
32660,-9434,-25791,28212,5252,-32036
32761,-11862,-23780,29867,1166,-30750
32734,-14217,-21558,31163,-2937,-28854
32577,-16484,-19146,32084,-6995,-26385
32293,-18650,-16565,32620,-10943,-23391
31881,-20702,-13837,32763,-14719,-19933
31345,-22627,-10987,32512,-18264,-16079
30685,-24413,-8040,31871,-21523,-11905
29905,-26049,-5022,30846,-24444,-7496
29007,-27525,-1959,29450,-26980,-2937
27996,-28832,1120,27701,-29094,1679
26874,-29962,4190,25618,-30750,6263
25647,-30908,7223,23227,-31924,10723
24319,-31665,10192,20557,-32597,14969
22895,-32227,13071,17640,-32757,18918
21382,-32592,15834,14510,-32404,22491
19784,-32756,18458,11206,-31542,25618
18109,-32720,20918,7768,-30184,28235
16363,-32482,23194,4236,-28353,30292
14552,-32046,25265,653,-26077,31747
12684,-31412,27112,-2937,-23391,32572
10767,-30586,28720,-6492,-20338,32750
8807,-29572,30074,-9970,-16966,32277
6812,-28377,31163,-13327,-13327,31163
4791,-27007,31976,-16524,-9479,29430
2751,-25472,32506,-19523,-5482,27112
700,-23780,32750,-22287,-1400,24256
-1353,-21942,32704,-24783,2704,20918
-3401,-19970,32369,-26980,6766,17165
-5436,-17875,31747,-28854,10723,13071
-7450,-15670,30846,-30381,14510,8717
-9434,-13370,29672,-31542,18070,4190
-11382,-10987,28235,-32324,21346,-420
-13284,-8537,26550,-32717,24288,-5022
-15135,-6034,24629,-32717,26847,-9524
-16926,-3494,22491,-32324,28986,-13837
-18650,-933,20154,-31542,30669,-17875
-20301,1633,17640,-30381,31871,-21558
-21873,4190,14969,-28854,32572,-24813
-23358,6721,12166,-26980,32762,-27575
-24752,9211,9255,-24783,32438,-29790
-26049,11644,6263,-22287,31604,-31412
-27243,14006,3216,-19523,30275,-32411
-28330,16282,140,-16524,28469,-32766
-29306,18458,-2937,-13327,26217,-32470
-30166,20521,-5988,-9970,23554,-31529
-30908,22457,-8986,-6492,20521,-29962
-31529,24256,-11905,-2937,17165,-27800
-32026,25906,-14719,653,13540,-25085
-32397,27397,-17403,4236,9702,-21873
-32641,28720,-19933,7768,5712,-18226
-32756,29867,-22287,11206,1633,-14217
-32743,30830,-24444,14510,-2471,-9925
-32601,31604,-26385,17640,-6538,-5436
-32331,32184,-28092,20557,-10502,-840
-31935,32567,-29552,23227,-14301,3773
-31412,32750,-30750,25618,-17875,8311
-30766,32731,-31677,27701,-21169,12684
-30000,32512,-32324,29450,-24130,16806
-29115,32093,-32685,30846,-26713,20593
-28116,31478,-32757,31871,-28876,23972
-27007,30669,-32540,32512,-30586,26874
-25791,29672,-32036,32763,-31816,29243
-24475,28493,-31248,32620,-32546,31030
-23062,27138,-30184,32084,-32765,32202
-21558,25618,-28854,31163,-32470,32734
-19970,23940,-27269,29867,-31665,32615
-18303,22115,-25442,28212,-30363,31849
-16565,20154,-23391,26217,-28584,30450
-14761,18070,-21133,23908,-26357,28446
-12899,15875,-18689,21311,-23716,25878
-10987,13582,-16079,18458,-20702,22795
-9031,11206,-13327,15383,-17363,19259
-7040,8762,-10457,12123,-13752,15341
-5022,6263,-7496,8717,-9925,11119
-2983,3726,-4467,5206,-5942,6675
