Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0,0,0,0,0,0,0
2052,2565,3076,3587,4097,4606,5114,5620
4097,5114,6126,7131,8130,9121,10103,11075
6126,7632,9121,10590,12036,13455,14844,16201
8130,10103,12036,13921,15752,17521,19222,20846
10103,12512,14844,17085,19222,21240,23128,24874
12036,14844,17521,20044,22389,24537,26467,28164
13921,17085,20044,22761,25205,27346,29158,30619
15752,19222,22389,25205,27626,29612,31134,32167
17521,21240,24537,27346,29612,31290,32346,32760
19222,23128,26467,29158,31134,32346,32766,32383
20846,24874,28164,30619,32167,32760,32383,31045
22389,26467,29612,31713,32695,32524,31206,28787
23844,27898,30798,32424,32709,31641,29264,25676
25205,29158,31713,32747,32210,30130,26604,21803
26467,30239,32346,32675,31206,28020,23293,17284
27626,31134,32695,32210,29711,25354,19410,12253
28675,31838,32754,31359,27750,22184,15052,6858
29612,32346,32524,30130,25354,18573,10325,1260
30433,32657,32006,28539,22559,14594,5344,-4375
31134,32766,31206,26604,19410,10325,233,-9881
31713,32675,30130,24350,15957,5850,-4883,-15093
32167,32383,28787,21803,12253,1260,-9881,-19859
32494,31892,27191,18994,8356,-3355,-14636,-24035
32695,31206,25354,15957,4329,-7904,-19032,-27499
32766,30328,23293,12727,233,-12296,-22962,-30148
32709,29264,21026,9345,-3865,-16444,-26329,-31903
32524,28020,18573,5850,-7904,-20265,-29051,-32712
32210,26604,15957,2285,-11818,-23683,-31060,-32551
31770,25025,13199,-1306,-15547,-26632,-32308,-31425
31206,23293,10325,-4883,-19032,-29051,-32765,-29368
30518,21417,7359,-8401,-22218,-30893,-32418,-26440
29711,19410,4329,-11818,-25055,-32121,-31276,-22728
28787,17284,1260,-15093,-27499,-32712,-29368,-18342
27750,15052,-1819,-18187,-29511,-32653,-26740,-13412
26604,12727,-4883,-21062,-31060,-31945,-23456,-8085
25354,10325,-7904,-23683,-32121,-30603,-19598,-2518
24004,7859,-10855,-26020,-32678,-28653,-15259,3123
22559,5344,-13710,-28044,-32722,-26133,-10546,8672
21026,2797,-16444,-29731,-32252,-23095,-5574,13964
19410,233,-19032,-31060,-31276,-19598,-466,18842
17718,-2332,-21453,-32016,-29809,-15711,4652,23161
15957,-4883,-23683,-32587,-27874,-11513,9658,26794
14132,-7405,-25705,-32766,-25501,-7086,14427,29632
12253,-9881,-27499,-32551,-22728,-2518,18842,31592
10325,-12296,-29051,-31945,-19598,2099,22795,32615
8356,-14636,-30345,-30955,-16160,6675,26189,32671
6355,-16886,-31372,-29592,-12469,11119,28942,31759
4329,-19032,-32121,-27874,-8582,15341,30985,29905
2285,-21062,-32587,-25820,-4560,19259,32269,27165
233,-22962,-32765,-23456,-466,22795,32761,23619
-1819,-24721,-32653,-20810,3633,25878,32451,19373
-3865,-26329,-32252,-17914,7677,28446,31345,14552
-5896,-27775,-31567,-14803,11600,30450,29471,9300
-7904,-29051,-30603,-11513,15341,31849,26874,3773
-9881,-30148,-29368,-8085,18842,32615,23619,-1866
-11818,-31060,-27874,-4560,22046,32734,19784,-7450
-13710,-31782,-26133,-980,24904,32202,15465,-12813
-15547,-32308,-24162,2611,27372,31030,10767,-17797
-17324,-32637,-21977,6172,29409,29243,5804,-22252
-19032,-32765,-19598,9658,30985,26874,700,-26049
-20666,-32691,-17046,13028,32075,23972,-4421,-29072
-22218,-32418,-14343,16241,32660,20593,-9434,-31234
-23683,-31945,-11513,19259,32734,16806,-14217,-32470
-25055,-31276,-8582,22046,32293,12684,-18650,-32743
-26329,-30415,-5574,24568,31345,8311,-22627,-32046
-27499,-29368,-2518,26794,29905,3773,-26049,-30398
-28561,-28140,560,28698,27996,-840,-28832,-27849
-29511,-26740,3633,30257,25647,-5436,-30908,-24475
-30345,-25175,6675,31452,22895,-9925,-32227,-20375
-31060,-23456,9658,32269,19784,-14217,-32756,-15670
-31653,-21593,12555,32698,16363,-18226,-32482,-10502
-32121,-19598,15341,32734,12684,-21873,-31412,-5022
-32464,-17482,17992,32376,8807,-25085,-29572,606
-32678,-15259,20484,31629,4791,-27800,-27007,6217
-32765,-12942,22795,30501,700,-29962,-23780,11644
-32722,-10546,24904,29007,-3401,-31529,-19970,16725
-32551,-8085,26794,27165,-7450,-32470,-15670,21311
-32252,-5574,28446,24995,-11382,-32766,-10987,25265
-31827,-3030,29848,22525,-15135,-32411,-6034,28469
-31276,-466,30985,19784,-18650,-31412,-933,30830
-30603,2099,31849,16806,-21873,-29790,4190,32277
-29809,4652,32431,13625,-24752,-27575,9211,32766
-28898,7177,32727,10280,-27243,-24813,14006,32285
-27874,9658,32734,6812,-29306,-21558,18458,30846
-26740,12079,32451,3262,-30908,-17875,22457,28493
-25501,14427,31881,-326,-32026,-13837,25906,25294
-24162,16685,31030,-3912,-32641,-9524,28720,21346
-22728,18842,29905,-7450,-32743,-5022,30830,16766
-21204,20882,28516,-10899,-32331,-420,32184,11688
-19598,22795,26874,-14217,-31412,4190,32750,6263
-17914,24568,24995,-17363,-30000,8717,32512,653
-16160,26189,22895,-20301,-28116,13071,31478,-4975
-14343,27651,20593,-22995,-25791,17165,29672,-10457
-12469,28942,18109,-25413,-23062,20918,27138,-15629
-10546,30056,15465,-27525,-19970,24256,23940,-20338
-8582,30985,12684,-29306,-16565,27112,20154,-24444
-6584,31724,9791,-30734,-12899,29430,15875,-27825
-4560,32269,6812,-31793,-9031,31163,11206,-30381
-2518,32615,3773,-32470,-5022,32277,6263,-32036
-466,32761,700,-32756,-933,32750,1166,-32741
1586,32706,-2378,-32649,3169,32572,-3958,-32476
3633,32451,-5436,-32149,7223,31747,-8986,-31248
5666,31996,-8446,-31262,11163,30292,-13795,-29094
7677,31345,-11382,-30000,14927,28235,-18264,-26077
9658,30501,-14217,-28377,18458,25618,-22287,-22287
11600,29471,-16926,-26412,21698,22491,-25763,-17836
13497,28259,-19485,-24130,24598,18918,-28607,-12856
15341,26874,-21873,-21558,27112,14969,-30750,-7496
17125,25324,-24067,-18727,29200,10723,-32140,-1912
18842,23619,-26049,-15670,30830,6263,-32741,3726
20484,21768,-27800,-12426,31976,1679,-32540,9255
22046,19784,-29306,-9031,32620,-2937,-31542,14510
23521,17679,-30552,-5528,32751,-7496,-29770,19335
24904,15465,-31529,-1959,32369,-11905,-27269,23586
26189,13156,-32227,1633,31478,-16079,-24099,27138
27372,10767,-32641,5206,30093,-19933,-20338,29886
28446,8311,-32766,8717,28235,-23391,-16079,31747
29409,5804,-32601,12123,25935,-26385,-11426,32668
30257,3262,-32149,15383,23227,-28854,-6492,32620
30985,700,-31412,18458,20154,-30750,-1400,31604
31592,-1866,-30398,21311,16766,-32036,3726,29652
32075,-4421,-29115,23908,13113,-32685,8762,26821
32431,-6949,-27575,26217,9255,-32685,13582,23194
32660,-9434,-25791,28212,5252,-32036,18070,18880
32761,-11862,-23780,29867,1166,-30750,22115,14006
32734,-14217,-21558,31163,-2937,-28854,25618,8717
32577,-16484,-19146,32084,-6995,-26385,28493,3169
32293,-18650,-16565,32620,-10943,-23391,30669,-2471
31881,-20702,-13837,32763,-14719,-19933,32093,-8040
31345,-22627,-10987,32512,-18264,-16079,32731,-13370
30685,-24413,-8040,31871,-21523,-11905,32567,-18303
29905,-26049,-5022,30846,-24444,-7496,31604,-22694
29007,-27525,-1959,29450,-26980,-2937,29867,-26412
27996,-28832,1120,27701,-29094,1679,27397,-29347
26874,-29962,4190,25618,-30750,6263,24256,-31412
25647,-30908,7223,23227,-31924,10723,20521,-32546
24319,-31665,10192,20557,-32597,14969,16282,-32715
22895,-32227,13071,17640,-32757,18918,11644,-31914
21382,-32592,15834,14510,-32404,22491,6721,-30166
19784,-32756,18458,11206,-31542,25618,1633,-27525
18109,-32720,20918,7768,-30184,28235,-3494,-24067
16363,-32482,23194,4236,-28353,30292,-8537,-19896
14552,-32046,25265,653,-26077,31747,-13370,-15135
12684,-31412,27112,-2937,-23391,32572,-17875,-9925
10767,-30586,28720,-6492,-20338,32750,-21942,-4421
8807,-29572,30074,-9970,-16966,32277,-25472,1213
6812,-28377,31163,-13327,-13327,31163,-28377,6812
4791,-27007,31976,-16524,-9479,29430,-30586,12209
2751,-25472,32506,-19523,-5482,27112,-32046,17244
700,-23780,32750,-22287,-1400,24256,-32720,21768
-1353,-21942,32704,-24783,2704,20918,-32592,25647
-3401,-19970,32369,-26980,6766,17165,-31665,28765
-5436,-17875,31747,-28854,10723,13071,-29962,31030
-7450,-15670,30846,-30381,14510,8717,-27525,32376
-9434,-13370,29672,-31542,18070,4190,-24413,32761
-11382,-10987,28235,-32324,21346,-420,-20702,32176
-13284,-8537,26550,-32717,24288,-5022,-16484,30636
-15135,-6034,24629,-32717,26847,-9524,-11862,28188
-16926,-3494,22491,-32324,28986,-13837,-6949,24904
-18650,-933,20154,-31542,30669,-17875,-1866,20882
-20301,1633,17640,-30381,31871,-21558,3262,16241
-21873,4190,14969,-28854,32572,-24813,8311,11119
-23358,6721,12166,-26980,32762,-27575,13156,5666
-24752,9211,9255,-24783,32438,-29790,17679,46
-26049,11644,6263,-22287,31604,-31412,21768,-5574
-27243,14006,3216,-19523,30275,-32411,25324,-11031
-28330,16282,140,-16524,28469,-32766,28259,-16160
-29306,18458,-2937,-13327,26217,-32470,30501,-20810
-30166,20521,-5988,-9970,23554,-31529,31996,-24844
-30908,22457,-8986,-6492,20521,-29962,32706,-28140
-31529,24256,-11905,-2937,17165,-27800,32615,-30603
-32026,25906,-14719,653,13540,-25085,31724,-32158
-32397,27397,-17403,4236,9702,-21873,30056,-32760
-32641,28720,-19933,7768,5712,-18226,27651,-32390
-32756,29867,-22287,11206,1633,-14217,24568,-31060
-32743,30830,-24444,14510,-2471,-9925,20882,-28810
-32601,31604,-26385,17640,-6538,-5436,16685,-25705
-32331,32184,-28092,20557,-10502,-840,12079,-21838
-31935,32567,-29552,23227,-14301,3773,7177,-17324
-31412,32750,-30750,25618,-17875,8311,2099,-12296
-30766,32731,-31677,27701,-21169,12684,-3030,-6903
-30000,32512,-32324,29450,-24130,16806,-8085,-1306
-29115,32093,-32685,30846,-26713,20593,-12942,4329
-28116,31478,-32757,31871,-28876,23972,-17482,9836
-27007,30669,-32540,32512,-30586,26874,-21593,15052
-25791,29672,-32036,32763,-31816,29243,-25175,19822
-24475,28493,-31248,32620,-32546,31030,-28140,24004
-23062,27138,-30184,32084,-32765,32202,-30415,27474
-21558,25618,-28854,31163,-32470,32734,-31945,30130
-19970,23940,-27269,29867,-31665,32615,-32691,31892
-18303,22115,-25442,28212,-30363,31849,-32637,32709
-16565,20154,-23391,26217,-28584,30450,-31782,32557
-14761,18070,-21133,23908,-26357,28446,-30148,31439
-12899,15875,-18689,21311,-23716,25878,-27775,29389
-10987,13582,-16079,18458,-20702,22795,-24721,26467
-9031,11206,-13327,15383,-17363,19259,-21062,22761
-7040,8762,-10457,12123,-13752,15341,-16886,18381
-5022,6263,-7496,8717,-9925,11119,-12296,13455
-2983,3726,-4467,5206,-5942,6675,-7405,8130
-933,1166,-1400,1633,-1866,2099,-2332,2565
1120,-1400,1679,-1959,2239,-2518,2797,-3076
3169,-3958,4745,-5528,6309,-7086,7859,-8627
5206,-6492,7768,-9031,10280,-11513,12727,-13921
7223,-8986,10723,-12426,14090,-15711,17284,-18803
9211,-11426,13582,-15670,17679,-19598,21417,-23128
11163,-13795,16322,-18727,20990,-23095,25025,-26767
13071,-16079,18918,-21558,23972,-26133,28020,-29612
14927,-18264,21346,-24130,26577,-28653,30328,-31579
16725,-20338,23586,-26412,28765,-30603,31892,-32611
18458,-22287,25618,-28377,30501,-31945,32675,-32675
20118,-24099,27423,-30000,31759,-32653,32657,-31770
21698,-25763,28986,-31262,32518,-32712,31838,-29924
23194,-27269,30292,-32149,32766,-32121,30239,-27191
24598,-28607,31331,-32649,32500,-30893,27898,-23651
25906,-29770,32093,-32756,31724,-29051,24874,-19410
27112,-30750,32572,-32470,30450,-26632,21240,-14594
28212,-31542,32763,-31793,28698,-23683,17085,-9345
29200,-32140,32664,-30734,26495,-20265,12512,-3819
30074,-32540,32277,-29306,23876,-16444,7632,1819
30830,-32741,31604,-27525,20882,-12296,2565,7405
31465,-32741,30652,-25413,17561,-7904,-2565,12770
31976,-32540,29430,-22995,13964,-3355,-7632,17758
32361,-32140,27947,-20301,10147,1260,-12512,22218
32620,-31542,26217,-17363,6172,5850,-17085,26020
32750,-30750,24256,-14217,2099,10325,-21240,29051
32751,-29770,22081,-10899,-2006,14594,-24874,31220
32624,-28607,19710,-7450,-6080,18573,-27898,32464
32369,-27269,17165,-3912,-10058,22184,-30239,32745
31986,-25763,14468,-326,-13879,25354,-31838,32055
31478,-24099,11644,3262,-17482,28020,-32657,30415
30846,-22287,8717,6812,-20810,30130,-32675,27874
30093,-20338,5712,10280,-23812,31641,-31892,24506
29222,-18264,2658,13625,-26440,32524,-30328,20411
28235,-16079,-420,16806,-28653,32760,-28020,15711
27138,-13795,-3494,19784,-30415,32346,-25025,10546
25935,-11426,-6538,22525,-31701,31290,-21417,5068
24629,-8986,-9524,24995,-32488,29612,-17284,-560
23227,-6492,-12426,27165,-32766,27346,-12727,-6172
21733,-3958,-15218,29007,-32529,24537,-7859,-11600
20154,-1400,-17875,30501,-31782,21240,-2797,-16685
18496,1166,-20375,31629,-30535,17521,2332,-21276
16766,3726,-22694,32376,-28810,13455,7405,-25235
14969,6263,-24813,32734,-26632,9121,12296,-28446
13113,8762,-26713,32698,-24035,4606,16886,-30814
11206,11206,-28377,32269,-21062,0,21062,-32269
9255,13582,-29790,31452,-17758,-4606,24721,-32766
